# model_feats, dafi_feats, labels
1.949556644831318408e-05,7.706534961471334100e-05,0.000000000000000000e+00
2.975960727781057358e-03,4.953021649271249771e-03,1.000000000000000000e+00
4.422315862029790878e-03,1.270962599664926529e-02,1.000000000000000000e+00
1.502830069512128830e-02,4.232310876250267029e-02,1.000000000000000000e+00
3.926672041416168213e-01,5.639060735702514648e-01,1.000000000000000000e+00
1.736571639776229858e-01,2.039908021688461304e-01,1.000000000000000000e+00
1.014336812659166753e-04,1.566019782330840826e-04,1.000000000000000000e+00
1.698206852918104914e-11,0.000000000000000000e+00,0.000000000000000000e+00
1.619406044483184814e-03,6.627948489040136337e-03,1.000000000000000000e+00
4.295008864119154168e-07,2.458633571222890168e-05,0.000000000000000000e+00
3.275119513273239136e-02,2.255314290523529053e-01,1.000000000000000000e+00
3.933350853912997991e-06,5.281510295838780233e-14,0.000000000000000000e+00
6.591854173620959045e-08,4.370037368946330311e-15,0.000000000000000000e+00
5.106151501621525313e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.648314764679525979e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.027402028441429138e-02,5.231646075844764709e-02,1.000000000000000000e+00
1.196852505991330418e-09,0.000000000000000000e+00,0.000000000000000000e+00
3.940075694117695093e-04,3.687390708364546299e-04,1.000000000000000000e+00
2.960384881589561701e-04,4.335268167778849602e-04,1.000000000000000000e+00
5.968749755993485451e-04,6.274813204072415829e-04,1.000000000000000000e+00
2.144474908709526062e-02,3.727518022060394287e-02,1.000000000000000000e+00
1.506663858890533447e-02,3.842551633715629578e-02,1.000000000000000000e+00
4.574743285775184631e-02,4.820697009563446045e-02,1.000000000000000000e+00
2.029050483187688769e-09,0.000000000000000000e+00,0.000000000000000000e+00
9.777105879038572311e-05,1.947348500834777951e-04,1.000000000000000000e+00
8.610489203420002013e-06,1.065110154740978032e-05,0.000000000000000000e+00
1.455915917176753283e-04,3.661981900222599506e-04,1.000000000000000000e+00
3.834350500255823135e-04,6.960760802030563354e-04,1.000000000000000000e+00
2.152762189507484436e-02,6.664411723613739014e-02,1.000000000000000000e+00
1.090103685855865479e-01,2.456193715333938599e-01,1.000000000000000000e+00
1.168401553286457784e-07,2.389084875176195055e-05,0.000000000000000000e+00
1.477975936081676878e-10,0.000000000000000000e+00,0.000000000000000000e+00
3.858239948749542236e-02,6.360854953527450562e-02,1.000000000000000000e+00
2.126803519786335528e-05,1.241916981546645539e-32,0.000000000000000000e+00
2.347934241697657853e-05,6.834882515249773860e-05,1.000000000000000000e+00
1.222119182348251343e-01,1.914122402667999268e-01,1.000000000000000000e+00
1.469023991376161575e-04,9.553045383654534817e-04,1.000000000000000000e+00
2.586482279002666473e-02,2.586604095995426178e-02,1.000000000000000000e+00
3.274858318036422133e-05,4.461298158275894821e-05,0.000000000000000000e+00
1.615106314420700073e-01,2.640151679515838623e-01,1.000000000000000000e+00
5.849833178217522800e-05,2.075307711493223906e-04,0.000000000000000000e+00
3.054925173273659311e-06,1.339391837973380461e-05,0.000000000000000000e+00
6.892923920531757176e-08,4.490149840669796194e-39,0.000000000000000000e+00
1.267871856689453125e-01,1.568870991468429565e-01,1.000000000000000000e+00
9.215265512466430664e-03,5.878651514649391174e-03,1.000000000000000000e+00
1.214021813211729750e-05,1.235620493389433250e-05,0.000000000000000000e+00
2.449861913919448853e-01,2.846367359161376953e-01,1.000000000000000000e+00
5.717746535083279014e-05,1.020414274535141885e-04,1.000000000000000000e+00
2.386287748813629150e-01,2.540894448757171631e-01,1.000000000000000000e+00
1.137803420424461365e-01,3.035928308963775635e-01,1.000000000000000000e+00
1.744533926248550415e-01,2.785638570785522461e-01,1.000000000000000000e+00
1.103156409953953698e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.364150390028953552e-02,9.905119240283966064e-02,1.000000000000000000e+00
1.555080991238355637e-03,9.832555428147315979e-03,1.000000000000000000e+00
1.744220405817031860e-01,3.339601159095764160e-01,1.000000000000000000e+00
1.075430336641147733e-04,2.785352698992937803e-04,1.000000000000000000e+00
8.700902753844275139e-07,2.156892333005089313e-05,0.000000000000000000e+00
2.319546998919008729e-09,0.000000000000000000e+00,0.000000000000000000e+00
2.570740798546466976e-05,6.644956010859459639e-05,0.000000000000000000e+00
2.923152595758438110e-02,6.705693155527114868e-02,1.000000000000000000e+00
5.584002010783351011e-11,0.000000000000000000e+00,0.000000000000000000e+00
5.095440064906142652e-05,1.463659573346376419e-04,0.000000000000000000e+00
9.463228285312652588e-03,1.446646358817815781e-02,1.000000000000000000e+00
3.684481605887413025e-02,4.560871049761772156e-02,1.000000000000000000e+00
2.461891388520598412e-03,1.260849833488464355e-02,1.000000000000000000e+00
6.040587322786450386e-04,2.420195844024419785e-03,1.000000000000000000e+00
1.490171484874736052e-06,1.029601025948068127e-05,0.000000000000000000e+00
5.024124402552843094e-05,2.153554378310218453e-04,0.000000000000000000e+00
3.282468914985656738e-01,7.751011848449707031e-01,1.000000000000000000e+00
1.923374293255619705e-05,4.467875987756997347e-05,1.000000000000000000e+00
4.628177703125402331e-05,1.655060186749324203e-04,1.000000000000000000e+00
1.257263403385877609e-02,3.137562796473503113e-02,1.000000000000000000e+00
4.055473254993557930e-05,1.797199220163747668e-04,0.000000000000000000e+00
8.915640646591782570e-04,1.166042289696633816e-03,1.000000000000000000e+00
2.680017678358126432e-05,4.257311957189813256e-05,0.000000000000000000e+00
2.665809552127029747e-05,5.933168722549453378e-05,0.000000000000000000e+00
1.218761644850019366e-05,1.278036961593898013e-05,0.000000000000000000e+00
9.994879364967346191e-02,1.571649760007858276e-01,1.000000000000000000e+00
2.329604141414165497e-02,3.440678119659423828e-02,1.000000000000000000e+00
6.880469300085678697e-05,1.535803457954898477e-04,1.000000000000000000e+00
1.462443196942331269e-05,1.038756570778787136e-03,0.000000000000000000e+00
1.367950905114412308e-02,3.307919576764106750e-02,1.000000000000000000e+00
5.123455775901675224e-05,7.581501267850399017e-05,1.000000000000000000e+00
5.131684709340333939e-03,8.329534903168678284e-03,1.000000000000000000e+00
7.115660949352786702e-09,1.159837120212614536e-05,0.000000000000000000e+00
1.699714809656143188e-01,3.428242802619934082e-01,1.000000000000000000e+00
1.260017506865551695e-05,4.136932329856790602e-05,0.000000000000000000e+00
1.893116632345481776e-06,4.210880797472782433e-05,0.000000000000000000e+00
1.475977769587188959e-04,1.653690997045487165e-04,1.000000000000000000e+00
2.990976572036743164e-01,3.206126987934112549e-01,1.000000000000000000e+00
1.159898420155514032e-05,6.351061165332794189e-05,1.000000000000000000e+00
1.422196138634035378e-08,2.232687875105675793e-25,0.000000000000000000e+00
2.551562786102294922e-01,4.869835376739501953e-01,1.000000000000000000e+00
1.909002021420747042e-04,5.159328575246036053e-04,0.000000000000000000e+00
8.369796909391880035e-03,3.776650130748748779e-02,1.000000000000000000e+00
6.666938588750781491e-06,1.114466886065201834e-05,1.000000000000000000e+00
1.756854857148937299e-07,2.320676037472054865e-37,0.000000000000000000e+00
2.463606446981430054e-01,3.059836328029632568e-01,1.000000000000000000e+00
6.417722353546650993e-09,0.000000000000000000e+00,0.000000000000000000e+00
2.609610965009778738e-04,6.413258379325270653e-04,0.000000000000000000e+00
1.296853553503751755e-02,3.252287954092025757e-02,1.000000000000000000e+00
3.683014214038848877e-01,4.264114797115325928e-01,1.000000000000000000e+00
